motion,class,pelvis_bin,swing_bin,support,split,pelvis,swing
left_5081,P1S2,1,2,L,train,0.5411,0.5664
left_4935,P1S2,1,2,L,train,0.5732,0.4981
left_980,P1S2,1,2,L,train,0.6175,0.5045
left_9828,P1S2,1,2,L,train,0.5868,0.6206
left_161,P1S2,1,2,L,train,0.6429,0.6363
left_5933,P1S2,1,2,L,train,0.5758,0.6143
left_2117,P1S2,1,2,L,train,0.5806,0.5941
left_9891,P1S2,1,2,L,train,0.6426,0.4914
left_3004,P1S2,1,2,L,train,0.5136,0.4903
left_6135,P1S2,1,2,L,train,0.5598,0.5326
left_8946,P1S2,1,2,L,train,0.5685,0.5204
left_129,P1S2,1,2,L,train,0.6431,0.5972
left_1176,P1S2,1,2,L,train,0.5887,0.6148
left_3951,P1S2,1,2,L,train,0.6207,0.5655
left_3033,P1S2,1,2,L,train,0.5981,0.6362
left_7746,P1S2,1,2,L,train,0.5251,0.4836
left_9774,P1S2,1,2,L,train,0.5412,0.6026
left_408,P1S2,1,2,L,train,0.579,0.5997
left_8972,P1S2,1,2,L,train,0.6309,0.5798
left_5,P1S2,1,2,L,train,0.5821,0.5971
left_7168,P1S2,1,2,L,train,0.5787,0.6579
left_7785,P1S2,1,2,L,train,0.5672,0.5325
left_2916,P1S2,1,2,L,train,0.624,0.6321
left_3222,P1S2,1,2,L,train,0.5917,0.5755
left_988,P1S2,1,2,L,train,0.6439,0.5647
left_6160,P1S2,1,2,L,train,0.5624,0.6539
left_989,P1S2,1,2,L,train,0.6001,0.5824
left_9837,P1S2,1,2,L,train,0.5688,0.5893
left_29,P1S2,1,2,L,train,0.5569,0.5652
left_2163,P1S2,1,2,L,train,0.5165,0.6214
left_9975,P1S2,1,2,L,train,0.5835,0.5533
left_4121,P1S2,1,2,L,train,0.5706,0.5428
left_133,P1S2,1,2,L,train,0.5475,0.6263
left_4038,P1S2,1,2,L,train,0.5347,0.5959
left_1047,P1S2,1,2,L,train,0.6022,0.5508
left_157,P1S2,1,2,L,train,0.5539,0.5217
left_8866,P1S2,1,2,L,train,0.6418,0.574
left_5234,P1S2,1,2,L,train,0.596,0.5205
left_6972,P1S2,1,2,L,val,0.6122,0.5636
left_9747,P1S2,1,2,L,test,0.6116,0.6006
left_5852,P1S2,1,2,L,test,0.516,0.5617
left_2017,P1S2,1,2,L,val,0.6347,0.5225
left_4192,P1S2,1,2,L,val,0.6403,0.6417
left_2090,P1S2,1,2,L,val,0.5804,0.4999
left_184,P1S2,1,2,L,val,0.5267,0.4989
left_3031,P1S2,1,2,L,test,0.604,0.531
left_7962,P1S2,1,2,L,test,0.6139,0.5589
left_8916,P1S2,1,2,L,test,0.5508,0.5291
right_3575,P1S2,1,2,R,train,0.5824,0.4975
right_5759,P1S2,1,2,R,train,0.6049,0.5569
right_491,P1S2,1,2,R,train,0.5849,0.4847
right_4358,P1S2,1,2,R,train,0.531,0.6171
right_7655,P1S2,1,2,R,train,0.5607,0.5299
right_9170,P1S2,1,2,R,train,0.5595,0.5823
right_5407,P1S2,1,2,R,train,0.5526,0.5779
right_5380,P1S2,1,2,R,train,0.5404,0.5397
right_5742,P1S2,1,2,R,train,0.5411,0.5357
right_4404,P1S2,1,2,R,train,0.5306,0.6266
right_7260,P1S2,1,2,R,train,0.5549,0.555
right_8243,P1S2,1,2,R,train,0.6413,0.5686
right_4413,P1S2,1,2,R,train,0.6137,0.6419
right_5337,P1S2,1,2,R,train,0.6078,0.5113
right_9454,P1S2,1,2,R,train,0.5216,0.498
right_9610,P1S2,1,2,R,train,0.6154,0.6038
right_617,P1S2,1,2,R,train,0.5405,0.4957
right_3412,P1S2,1,2,R,train,0.5757,0.5408
right_7690,P1S2,1,2,R,train,0.5649,0.5863
right_3476,P1S2,1,2,R,train,0.5906,0.6224
right_7713,P1S2,1,2,R,train,0.602,0.4937
right_470,P1S2,1,2,R,train,0.5555,0.5594
right_2806,P1S2,1,2,R,train,0.6022,0.4816
right_842,P1S2,1,2,R,train,0.6324,0.5797
right_4564,P1S2,1,2,R,train,0.5517,0.5947
right_6621,P1S2,1,2,R,train,0.5297,0.5317
right_496,P1S2,1,2,R,train,0.5586,0.575
right_7469,P1S2,1,2,R,train,0.5829,0.5184
right_2410,P1S2,1,2,R,train,0.6296,0.6323
right_4736,P1S2,1,2,R,train,0.5963,0.626
right_5623,P1S2,1,2,R,train,0.6387,0.5532
right_4642,P1S2,1,2,R,train,0.6118,0.6228
right_7206,P1S2,1,2,R,train,0.6319,0.6296
right_4400,P1S2,1,2,R,train,0.5418,0.5047
right_612,P1S2,1,2,R,train,0.5654,0.5779
right_8310,P1S2,1,2,R,train,0.6415,0.5601
right_9516,P1S2,1,2,R,train,0.6136,0.5888
right_883,P1S2,1,2,R,train,0.5593,0.6037
right_4421,P1S2,1,2,R,train,0.5564,0.5926
right_9542,P1S2,1,2,R,train,0.6368,0.5778
right_8466,P1S2,1,2,R,test,0.5256,0.5602
right_4460,P1S2,1,2,R,test,0.6302,0.6541
right_864,P1S2,1,2,R,val,0.6322,0.5585
right_3547,P1S2,1,2,R,val,0.6415,0.63
right_4380,P1S2,1,2,R,test,0.5555,0.5727
right_3668,P1S2,1,2,R,val,0.5936,0.5011
right_6736,P1S2,1,2,R,test,0.5685,0.5714
right_9276,P1S2,1,2,R,val,0.585,0.6084
right_7423,P1S2,1,2,R,test,0.6395,0.4899
right_7607,P1S2,1,2,R,val,0.5333,0.4833
left_120,P2S0,2,0,L,train,0.6853,0.2433
left_8087,P2S0,2,0,L,train,0.6528,0.2794
left_5924,P2S0,2,0,L,train,0.7279,0.2839
left_4284,P2S0,2,0,L,train,0.7629,0.2691
left_4250,P2S0,2,0,L,train,0.748,0.2389
left_6208,P2S0,2,0,L,train,0.6528,0.1094
left_7066,P2S0,2,0,L,train,0.6986,0.147
left_4148,P2S0,2,0,L,train,0.7585,0.118
left_2920,P2S0,2,0,L,train,0.763,0.2178
left_9011,P2S0,2,0,L,train,0.659,0.2617
left_328,P2S0,2,0,L,train,0.7086,0.2064
left_97,P2S0,2,0,L,train,0.6846,0.116
left_1397,P2S0,2,0,L,train,0.6806,0.2078
left_8003,P2S0,2,0,L,train,0.6976,0.2177
left_3307,P2S0,2,0,L,train,0.7231,0.2281
left_7794,P2S0,2,0,L,train,0.7219,0.1298
left_9916,P2S0,2,0,L,train,0.7089,0.1162
left_8852,P2S0,2,0,L,train,0.7192,0.2661
left_4890,P2S0,2,0,L,train,0.7103,0.1536
left_7849,P2S0,2,0,L,train,0.6673,0.1792
left_4879,P2S0,2,0,L,train,0.7472,0.2417
left_3035,P2S0,2,0,L,train,0.694,0.146
left_4211,P2S0,2,0,L,train,0.7396,0.223
left_2164,P2S0,2,0,L,train,0.6615,0.1237
left_4847,P2S0,2,0,L,train,0.7169,0.1548
left_155,P2S0,2,0,L,train,0.6718,0.1347
left_3048,P2S0,2,0,L,train,0.6674,0.0967
left_6850,P2S0,2,0,L,train,0.7505,0.2153
left_2161,P2S0,2,0,L,train,0.74,0.2307
left_5923,P2S0,2,0,L,train,0.735,0.2232
left_26,P2S0,2,0,L,train,0.6705,0.2756
left_4092,P2S0,2,0,L,train,0.7249,0.1763
left_6098,P2S0,2,0,L,train,0.7407,0.2655
left_4953,P2S0,2,0,L,train,0.6857,0.1955
left_286,P2S0,2,0,L,train,0.7232,0.1994
left_1957,P2S0,2,0,L,train,0.76,0.2822
left_104,P2S0,2,0,L,train,0.6485,0.2285
left_2068,P2S0,2,0,L,train,0.742,0.1911
left_9697,P2S0,2,0,L,train,0.6797,0.1416
left_5948,P2S0,2,0,L,train,0.7348,0.2663
left_7022,P2S0,2,0,L,test,0.6551,0.2797
left_2101,P2S0,2,0,L,test,0.7628,0.2242
left_6115,P2S0,2,0,L,val,0.7522,0.1818
left_6113,P2S0,2,0,L,val,0.7185,0.1979
left_9769,P2S0,2,0,L,val,0.7121,0.1369
left_8936,P2S0,2,0,L,test,0.6873,0.2182
left_3246,P2S0,2,0,L,val,0.7562,0.2112
left_8104,P2S0,2,0,L,test,0.7073,0.1425
left_4222,P2S0,2,0,L,test,0.7038,0.2093
left_4969,P2S0,2,0,L,val,0.695,0.2318
right_4526,P2S0,2,0,R,train,0.69,0.1157
right_5792,P2S0,2,0,R,train,0.7234,0.2275
right_1461,P2S0,2,0,R,train,0.7633,0.2338
right_5685,P2S0,2,0,R,train,0.6979,0.1717
right_2898,P2S0,2,0,R,train,0.7599,0.2767
right_6490,P2S0,2,0,R,train,0.7675,0.1822
right_5586,P2S0,2,0,R,train,0.7166,0.157
right_6339,P2S0,2,0,R,train,0.6748,0.1531
right_1454,P2S0,2,0,R,train,0.7011,0.1208
right_4535,P2S0,2,0,R,train,0.7213,0.261
right_1576,P2S0,2,0,R,train,0.7266,0.2397
right_1638,P2S0,2,0,R,train,0.7134,0.1648
right_6542,P2S0,2,0,R,train,0.7428,0.2083
right_6620,P2S0,2,0,R,train,0.7026,0.2261
right_8593,P2S0,2,0,R,train,0.7443,0.155
right_3615,P2S0,2,0,R,train,0.7049,0.1663
right_8409,P2S0,2,0,R,train,0.699,0.2655
right_2810,P2S0,2,0,R,train,0.7035,0.265
right_973,P2S0,2,0,R,train,0.7386,0.1598
right_4507,P2S0,2,0,R,train,0.6832,0.2282
right_8470,P2S0,2,0,R,train,0.7093,0.2052
right_2669,P2S0,2,0,R,train,0.6701,0.2086
right_7484,P2S0,2,0,R,train,0.6992,0.2005
right_4641,P2S0,2,0,R,train,0.7197,0.1539
right_1724,P2S0,2,0,R,train,0.7205,0.2676
right_7479,P2S0,2,0,R,train,0.7366,0.1369
right_6769,P2S0,2,0,R,train,0.7517,0.2064
right_9521,P2S0,2,0,R,train,0.6996,0.2438
right_3434,P2S0,2,0,R,train,0.6952,0.2611
right_8245,P2S0,2,0,R,train,0.7372,0.1298
right_4693,P2S0,2,0,R,train,0.6685,0.1982
right_7639,P2S0,2,0,R,train,0.7613,0.1439
right_4835,P2S0,2,0,R,train,0.7374,0.242
right_735,P2S0,2,0,R,train,0.7536,0.1649
right_9383,P2S0,2,0,R,train,0.7732,0.148
right_6722,P2S0,2,0,R,train,0.733,0.164
right_5682,P2S0,2,0,R,train,0.6699,0.2632
right_6671,P2S0,2,0,R,train,0.7438,0.2847
right_3455,P2S0,2,0,R,train,0.6764,0.1778
right_8540,P2S0,2,0,R,train,0.7436,0.2005
right_9518,P2S0,2,0,R,test,0.7175,0.1327
right_8167,P2S0,2,0,R,val,0.7415,0.2559
right_723,P2S0,2,0,R,test,0.7431,0.1982
right_9422,P2S0,2,0,R,val,0.7671,0.2193
right_3633,P2S0,2,0,R,val,0.6942,0.216
right_1880,P2S0,2,0,R,val,0.6588,0.1398
right_9243,P2S0,2,0,R,val,0.7223,0.2365
right_9122,P2S0,2,0,R,test,0.6459,0.2585
right_3507,P2S0,2,0,R,test,0.7171,0.2346
right_6281,P2S0,2,0,R,test,0.7172,0.182
left_5891,P2S1,2,1,L,train,0.6877,0.3844
left_8942,P2S1,2,1,L,train,0.7214,0.4276
left_9009,P2S1,2,1,L,train,0.6537,0.3225
left_288,P2S1,2,1,L,train,0.7153,0.4253
left_7757,P2S1,2,1,L,train,0.7605,0.3885
left_5035,P2S1,2,1,L,train,0.7471,0.3497
left_3240,P2S1,2,1,L,train,0.669,0.4249
left_6196,P2S1,2,1,L,train,0.7376,0.4664
left_6988,P2S1,2,1,L,train,0.6828,0.3109
left_2323,P2S1,2,1,L,train,0.7408,0.4125
left_30,P2S1,2,1,L,train,0.7445,0.3397
left_9835,P2S1,2,1,L,train,0.7689,0.285
left_3258,P2S1,2,1,L,train,0.6952,0.3534
left_391,P2S1,2,1,L,train,0.723,0.4774
left_2103,P2S1,2,1,L,train,0.7567,0.3598
left_6979,P2S1,2,1,L,train,0.6994,0.4248
left_2942,P2S1,2,1,L,train,0.7442,0.4044
left_5267,P2S1,2,1,L,train,0.7286,0.3052
left_6189,P2S1,2,1,L,train,0.6657,0.3394
left_7,P2S1,2,1,L,train,0.7287,0.3652
left_6174,P2S1,2,1,L,train,0.6727,0.4067
left_3939,P2S1,2,1,L,train,0.6473,0.4385
left_98,P2S1,2,1,L,train,0.6691,0.4271
left_6868,P2S1,2,1,L,train,0.7117,0.4128
left_3204,P2S1,2,1,L,train,0.6598,0.3819
left_2359,P2S1,2,1,L,train,0.6936,0.3039
left_6114,P2S1,2,1,L,train,0.728,0.4661
left_5849,P2S1,2,1,L,train,0.6544,0.4436
left_2242,P2S1,2,1,L,train,0.7521,0.2912
left_6209,P2S1,2,1,L,train,0.7028,0.3829
left_6197,P2S1,2,1,L,train,0.6749,0.3286
left_8083,P2S1,2,1,L,train,0.7554,0.4053
left_63,P2S1,2,1,L,train,0.7123,0.411
left_3265,P2S1,2,1,L,train,0.7111,0.3982
left_1266,P2S1,2,1,L,train,0.7021,0.3223
left_9714,P2S1,2,1,L,train,0.7282,0.3156
left_2300,P2S1,2,1,L,train,0.7291,0.4201
left_9754,P2S1,2,1,L,train,0.6843,0.3989
left_3993,P2S1,2,1,L,train,0.7227,0.3796
left_8699,P2S1,2,1,L,train,0.7636,0.3637
left_7793,P2S1,2,1,L,val,0.7072,0.3734
left_180,P2S1,2,1,L,test,0.7544,0.4407
left_20,P2S1,2,1,L,val,0.6947,0.4768
left_2051,P2S1,2,1,L,test,0.6576,0.473
left_2016,P2S1,2,1,L,val,0.7228,0.3249
left_9970,P2S1,2,1,L,val,0.6683,0.354
left_8712,P2S1,2,1,L,test,0.7072,0.3674
left_5132,P2S1,2,1,L,test,0.666,0.4299
left_5160,P2S1,2,1,L,test,0.681,0.4266
left_1073,P2S1,2,1,L,val,0.7625,0.3484
right_8498,P2S1,2,1,R,train,0.7575,0.3673
right_796,P2S1,2,1,R,train,0.6713,0.4575
right_4473,P2S1,2,1,R,train,0.6667,0.4083
right_9152,P2S1,2,1,R,train,0.6945,0.4046
right_3810,P2S1,2,1,R,train,0.7383,0.3963
right_7388,P2S1,2,1,R,train,0.7375,0.3798
right_4457,P2S1,2,1,R,train,0.6787,0.4497
right_5409,P2S1,2,1,R,train,0.7332,0.4648
right_9331,P2S1,2,1,R,train,0.6995,0.3077
right_2750,P2S1,2,1,R,train,0.7634,0.3558
right_4497,P2S1,2,1,R,train,0.7371,0.3363
right_7227,P2S1,2,1,R,train,0.7156,0.3794
right_1478,P2S1,2,1,R,train,0.729,0.4709
right_7599,P2S1,2,1,R,train,0.7618,0.3896
right_5426,P2S1,2,1,R,train,0.6595,0.4716
right_7576,P2S1,2,1,R,train,0.7499,0.3083
right_7311,P2S1,2,1,R,train,0.7572,0.4197
right_3736,P2S1,2,1,R,train,0.6608,0.3106
right_6570,P2S1,2,1,R,train,0.6536,0.4531
right_6329,P2S1,2,1,R,train,0.6774,0.3913
right_6592,P2S1,2,1,R,train,0.683,0.4392
right_8629,P2S1,2,1,R,train,0.7387,0.318
right_3592,P2S1,2,1,R,train,0.7466,0.3958
right_6739,P2S1,2,1,R,train,0.7339,0.4478
right_2713,P2S1,2,1,R,train,0.7425,0.2898
right_4531,P2S1,2,1,R,train,0.6619,0.4065
right_5713,P2S1,2,1,R,train,0.7485,0.3679
right_805,P2S1,2,1,R,train,0.6867,0.3028
right_7443,P2S1,2,1,R,train,0.6756,0.4321
right_4461,P2S1,2,1,R,train,0.7166,0.4715
right_1651,P2S1,2,1,R,train,0.6582,0.4327
right_6437,P2S1,2,1,R,train,0.7315,0.4059
right_4484,P2S1,2,1,R,train,0.6641,0.4211
right_4471,P2S1,2,1,R,train,0.7283,0.3039
right_4442,P2S1,2,1,R,train,0.665,0.3383
right_874,P2S1,2,1,R,train,0.7144,0.4142
right_7566,P2S1,2,1,R,train,0.7329,0.3739
right_9517,P2S1,2,1,R,train,0.6747,0.3333
right_2420,P2S1,2,1,R,train,0.6874,0.3753
right_9193,P2S1,2,1,R,train,0.7587,0.3257
right_1564,P2S1,2,1,R,val,0.6874,0.4526
right_4468,P2S1,2,1,R,test,0.6626,0.3352
right_1539,P2S1,2,1,R,test,0.7632,0.4734
right_7445,P2S1,2,1,R,val,0.6944,0.4223
right_9475,P2S1,2,1,R,val,0.6824,0.3091
right_5404,P2S1,2,1,R,test,0.7658,0.3589
right_3402,P2S1,2,1,R,test,0.6909,0.4028
right_2706,P2S1,2,1,R,test,0.6557,0.3771
right_2863,P2S1,2,1,R,val,0.6502,0.4328
right_3372,P2S1,2,1,R,val,0.6496,0.2884
left_253,P2S2,2,2,L,train,0.7279,0.5117
left_3325,P2S2,2,2,L,train,0.6855,0.5275
left_5044,P2S2,2,2,L,train,0.6945,0.5551
left_4069,P2S2,2,2,L,train,0.7125,0.5384
left_7855,P2S2,2,2,L,train,0.6584,0.5415
left_2199,P2S2,2,2,L,train,0.7137,0.5015
left_2271,P2S2,2,2,L,train,0.7108,0.6469
left_7123,P2S2,2,2,L,train,0.7344,0.5611
left_5841,P2S2,2,2,L,train,0.7426,0.5242
left_1247,P2S2,2,2,L,train,0.7191,0.538
left_8770,P2S2,2,2,L,train,0.7278,0.5083
left_48,P2S2,2,2,L,train,0.7117,0.507
left_1008,P2S2,2,2,L,train,0.7533,0.4938
left_3998,P2S2,2,2,L,train,0.6718,0.5336
left_2142,P2S2,2,2,L,train,0.7428,0.6316
left_4136,P2S2,2,2,L,train,0.755,0.638
left_6203,P2S2,2,2,L,train,0.7221,0.5966
left_6879,P2S2,2,2,L,train,0.6472,0.5419
left_5949,P2S2,2,2,L,train,0.6684,0.507
left_1026,P2S2,2,2,L,train,0.7133,0.5587
left_1375,P2S2,2,2,L,train,0.6548,0.5541
left_9845,P2S2,2,2,L,train,0.6822,0.6415
left_121,P2S2,2,2,L,train,0.6485,0.5319
left_7004,P2S2,2,2,L,train,0.7058,0.5862
left_9683,P2S2,2,2,L,train,0.6933,0.4985
left_4994,P2S2,2,2,L,train,0.668,0.6459
left_1019,P2S2,2,2,L,train,0.7326,0.5127
left_1219,P2S2,2,2,L,train,0.721,0.576
left_7756,P2S2,2,2,L,train,0.6986,0.5268
left_5863,P2S2,2,2,L,train,0.7592,0.4954
left_6942,P2S2,2,2,L,train,0.7001,0.5879
left_7086,P2S2,2,2,L,train,0.7315,0.5576
left_6880,P2S2,2,2,L,train,0.6828,0.5981
left_5996,P2S2,2,2,L,train,0.7042,0.6076
left_9829,P2S2,2,2,L,train,0.6782,0.5351
left_1136,P2S2,2,2,L,train,0.7248,0.5474
left_8035,P2S2,2,2,L,train,0.6662,0.6387
left_8783,P2S2,2,2,L,train,0.6591,0.5928
left_382,P2S2,2,2,L,train,0.6912,0.6364
left_1996,P2S2,2,2,L,train,0.718,0.5123
left_4963,P2S2,2,2,L,val,0.7413,0.6136
left_4025,P2S2,2,2,L,test,0.7536,0.4962
left_1104,P2S2,2,2,L,val,0.678,0.578
left_7038,P2S2,2,2,L,val,0.7249,0.5237
left_2907,P2S2,2,2,L,test,0.7522,0.6316
left_8705,P2S2,2,2,L,val,0.7242,0.5714
left_7816,P2S2,2,2,L,test,0.6588,0.5263
left_3329,P2S2,2,2,L,test,0.7296,0.571
left_4845,P2S2,2,2,L,val,0.6754,0.5908
left_1173,P2S2,2,2,L,test,0.6533,0.5129
right_3452,P2S2,2,2,R,train,0.6638,0.5437
right_7459,P2S2,2,2,R,train,0.7006,0.5161
right_7353,P2S2,2,2,R,train,0.6952,0.6446
right_7435,P2S2,2,2,R,train,0.7581,0.6443
right_7506,P2S2,2,2,R,train,0.7295,0.6313
right_4743,P2S2,2,2,R,train,0.7538,0.5094
right_7509,P2S2,2,2,R,train,0.7005,0.5028
right_7486,P2S2,2,2,R,train,0.7445,0.5449
right_6370,P2S2,2,2,R,train,0.7373,0.5374
right_476,P2S2,2,2,R,train,0.6683,0.5892
right_7331,P2S2,2,2,R,train,0.7501,0.6018
right_7232,P2S2,2,2,R,train,0.701,0.5723
right_3762,P2S2,2,2,R,train,0.7368,0.4889
right_7432,P2S2,2,2,R,train,0.6977,0.5368
right_5405,P2S2,2,2,R,train,0.7467,0.5501
right_911,P2S2,2,2,R,train,0.7408,0.5731
right_8309,P2S2,2,2,R,train,0.7363,0.5362
right_1929,P2S2,2,2,R,train,0.7398,0.6137
right_9136,P2S2,2,2,R,train,0.7386,0.634
right_9360,P2S2,2,2,R,train,0.6653,0.4996
right_754,P2S2,2,2,R,train,0.6486,0.5636
right_9581,P2S2,2,2,R,train,0.7452,0.5436
right_6311,P2S2,2,2,R,train,0.6808,0.4846
right_3392,P2S2,2,2,R,train,0.729,0.6122
right_2683,P2S2,2,2,R,train,0.7314,0.6429
right_3377,P2S2,2,2,R,train,0.6652,0.511
right_6416,P2S2,2,2,R,train,0.711,0.6072
right_9512,P2S2,2,2,R,train,0.6731,0.5261
right_1604,P2S2,2,2,R,train,0.7472,0.4953
right_2645,P2S2,2,2,R,train,0.7358,0.5037
right_5730,P2S2,2,2,R,train,0.7231,0.5835
right_2619,P2S2,2,2,R,train,0.6794,0.5282
right_9502,P2S2,2,2,R,train,0.746,0.6146
right_9184,P2S2,2,2,R,train,0.7534,0.6349
right_7262,P2S2,2,2,R,train,0.6838,0.5976
right_9410,P2S2,2,2,R,train,0.6808,0.543
right_4394,P2S2,2,2,R,train,0.7064,0.5738
right_6596,P2S2,2,2,R,train,0.7578,0.5817
right_6399,P2S2,2,2,R,train,0.7267,0.4816
right_2599,P2S2,2,2,R,train,0.6584,0.6415
right_3593,P2S2,2,2,R,test,0.7087,0.5725
right_4730,P2S2,2,2,R,val,0.6733,0.636
right_9204,P2S2,2,2,R,val,0.688,0.6104
right_9126,P2S2,2,2,R,val,0.6673,0.5568
right_5727,P2S2,2,2,R,val,0.6487,0.4923
right_1524,P2S2,2,2,R,test,0.6726,0.5345
right_8424,P2S2,2,2,R,test,0.759,0.6559
right_3699,P2S2,2,2,R,test,0.6617,0.6077
right_4801,P2S2,2,2,R,val,0.7206,0.6409
right_7306,P2S2,2,2,R,test,0.7068,0.4798
